,Shortcode
 ŠAMPINJON,[nutrition-label id=3603]
 salo,[nutrition-label id=3706]
 Rženi mešani kruh GLYX,[nutrition-label id=3452]
" Rženi kruh, s kefirjem",[nutrition-label id=3451]
 Rženi kruh SVIT,[nutrition-label id=3453]
 Rženi kruh,[nutrition-label id=3450]
" Rženi kosmiči, polnozrnati",[nutrition-label id=3440]
 Rženi kosmiči,[nutrition-label id=3441]
 Ržena moka,[nutrition-label id=3439]
" Rž, zrno",[nutrition-label id=3438]
 RUSTICO 75506,[nutrition-label id=3678]
 Rum,[nutrition-label id=3632]
 RSC 7 PLUS OA,[nutrition-label id=3677]
 Rozine,[nutrition-label id=3503]
 Rožice,[nutrition-label id=3645]
 rosao,[nutrition-label id=3757]
 Robidnice,[nutrition-label id=3479]
 rjavi sladkor,[nutrition-label id=3744]
 Riževa moka,[nutrition-label id=3444]
 Rižev škrob,[nutrition-label id=3445]
" Riž, rjav, nepoliran",[nutrition-label id=3443]
" Riž, bel, poliran",[nutrition-label id=3442]
" Ribja pašteta, Argeta",[nutrition-label id=3376]
" Ribja pašteta z zelenjavo, Weekend",[nutrition-label id=3377]
" Riba z zelenjavo, Weekend",[nutrition-label id=3367]
" Riba z zelenjavo, Izola Brand",[nutrition-label id=3368]
" Repa, kisla",[nutrition-label id=3516]
 Regrat,[nutrition-label id=3532]
" Rdeča pesa, kuhana",[nutrition-label id=3548]
 Rdeča pesa,[nutrition-label id=3547]
 RCS7 PLUS OA,[nutrition-label id=3594]
 Razsoljeni svinjski hrbet,[nutrition-label id=3288]
 Raža,[nutrition-label id=3343]
 Rarog,[nutrition-label id=3359]
 ranch hisna omaka,[nutrition-label id=3748]
" Rakovica, v pločevinki",[nutrition-label id=3375]
" Radič, zelen",[nutrition-label id=3509]
" Radič, rdeč",[nutrition-label id=3508]
" Raca, povprečno",[nutrition-label id=3309]
 puranje stegno s kožo,[nutrition-label id=3712]
" Puranje meso, prsa brez kože in kosti",[nutrition-label id=3305]
" Puranje meso, bedro brez kože in kosti",[nutrition-label id=3306]
 Pšenični zdrob (tip 400),[nutrition-label id=3432]
" Pšenični mešani kruh, Z manj soli",[nutrition-label id=3461]
" Pšenični mešani kruh, S semeni",[nutrition-label id=3463]
 Pšenični mešani kruh Krjavelj,[nutrition-label id=3465]
 Pšenični mešani kruh Jelenov,[nutrition-label id=3464]
 Pšenična moka (tip 850),[nutrition-label id=3435]
 Pšenična moka (tip 500),[nutrition-label id=3436]
 Pšenična moka (tip 400),[nutrition-label id=3437]
 Pšenična moka (tip 1100),[nutrition-label id=3434]
 Pšenična moka (polnozrnata),[nutrition-label id=3433]
" Pšenica, zrno",[nutrition-label id=3431]
" Proso, zrno, Sonček",[nutrition-label id=3429]
" Proso, zrno",[nutrition-label id=3428]
 Prosena kaša,[nutrition-label id=3430]
 PRIMOFRESCH SPARE RIBS,[nutrition-label id=3676]
 presad marmelada,[nutrition-label id=3723]
" Prepelica, povprečno, brez kože in kosti",[nutrition-label id=3332]
" Prepečenec, Več žit",[nutrition-label id=3460]
" Prepečenec, Beli",[nutrition-label id=3459]
 Prekmurska šunka,[nutrition-label id=3285]
 Prekajena postrv,[nutrition-label id=3361]
" Pravi kostanj, kuhan",[nutrition-label id=3490]
 Prašičji jezik,[nutrition-label id=3248]
 Prašičje srce,[nutrition-label id=3247]
 prašičje Glave s.k.,[nutrition-label id=3683]
 prašičja koža,[nutrition-label id=3684]
 Prašičja jetra,[nutrition-label id=3246]
 praš.meso I. kat. (stegno očiščeno),[nutrition-label id=3697]
" praš. meso II.kat. ( pleče, potrebušina)",[nutrition-label id=3653]
 potrebušina,[nutrition-label id=3698]
" Potočna postrv, gojena",[nutrition-label id=3347]
 posušene hruške,[nutrition-label id=3766]
 posušene gobe,[nutrition-label id=3767]
 posušena jabolka,[nutrition-label id=3765]
" Por, kuhan",[nutrition-label id=3519]
 Por,[nutrition-label id=3518]
 poper črni,[nutrition-label id=3687]
 poper beli mleti,[nutrition-label id=3672]
 Pomaranča,[nutrition-label id=3497]
 Polž,[nutrition-label id=3356]
" Polkopunje meso, prsa brez kože in kosti",[nutrition-label id=3295]
" Polkopunje meso, bedro brez kože in kosti",[nutrition-label id=3296]
 Polbeli kruh,[nutrition-label id=3447]
 Podust,[nutrition-label id=3349]
 pleče prašičje brez kosti in masti,[nutrition-label id=3696]
 Pistacija,[nutrition-label id=3398]
 Piškotne drobtine,[nutrition-label id=3630]
 Piščančje srce,[nutrition-label id=3304]
 Piščančje prsi v ovitku,[nutrition-label id=3313]
" Piščančje meso, prsa s kožo, brez kosti",[nutrition-label id=3298]
" Piščančje meso, prsa brez kože in kosti",[nutrition-label id=3297]
" Piščančje meso, krilo s kožo, brez kosti",[nutrition-label id=3301]
" Piščančje meso, bedro s kožo, brez kosti",[nutrition-label id=3300]
" Piščančje meso, bedro brez kože in kosti",[nutrition-label id=3299]
 Piščančja posebna klobasa,[nutrition-label id=3310]
 Piščančja jetrna pašteta,[nutrition-label id=3312]
 Piščančja jetra,[nutrition-label id=3303]
 Piščančja hrenovka,[nutrition-label id=3311]
" Pirina moka, polnozrnata",[nutrition-label id=3426]
 Pirina moka,[nutrition-label id=3427]
 Pirina kaša,[nutrition-label id=3424]
 Pirin zdrob,[nutrition-label id=3425]
 Pirin mešani kruh,[nutrition-label id=3457]
" Pirin kruh, z jabolčnimi krhlji",[nutrition-label id=3458]
" Pira, zrno",[nutrition-label id=3423]
 Pinjoli,[nutrition-label id=3392]
 pimet mleti,[nutrition-label id=3671]
" PETERŠILJ, SUH",[nutrition-label id=3607]
" PETERŠILJ, LIST",[nutrition-label id=3605]
" PETERŠILJ, KOREN",[nutrition-label id=3606]
" Petelinje meso, prsa brez kože in kosti",[nutrition-label id=3291]
" Petelinje meso, bedro brez kože in kosti",[nutrition-label id=3292]
 pehtran suhi,[nutrition-label id=3733]
 pečka,[nutrition-label id=3709]
 Pecilni prašek,[nutrition-label id=3624]
 Pariška salama,[nutrition-label id=3278]
 PARADIŽNIKOV PIRE,[nutrition-label id=3597]
 Paradižnik,[nutrition-label id=3552]
" Paprika, zelena",[nutrition-label id=3565]
" Paprika, rumena",[nutrition-label id=3541]
 Paprika sladka začimba,[nutrition-label id=3585]
 paprika sladka,[nutrition-label id=3670]
 Paprika pekoča začimba,[nutrition-label id=3586]
 paprika ostra,[nutrition-label id=3669]
 paprika granulat rdeča/zelena 7190,[nutrition-label id=3675]
 Papalina,[nutrition-label id=3337]
 panirani piscancji fritesi,[nutrition-label id=3729]
 Ovseni mešani kruh,[nutrition-label id=3454]
 Ovseni kosmiči,[nutrition-label id=3422]
 Ovčetina,[nutrition-label id=3269]
 otroška omaka,[nutrition-label id=3751]
 Ostriga,[nutrition-label id=3355]
 Oslič,[nutrition-label id=3341]
 Orehi,[nutrition-label id=3489]
 Oreh,[nutrition-label id=3391]
 omaka s črnim tartufom,[nutrition-label id=3752]
" Olje, olivno",[nutrition-label id=3635]
 olivno olje,[nutrition-label id=3717]
" Ohrovt, kuhan",[nutrition-label id=3512]
 Ohrovt,[nutrition-label id=3511]
 odojek,[nutrition-label id=3705]
 ocvrti krompir,[nutrition-label id=3739]
 Ocvrta čebula,[nutrition-label id=3640]
 Navadni tun,[nutrition-label id=3334]
 Navadna peščena kozica,[nutrition-label id=3357]
" Namizne oljke, Štorta",[nutrition-label id=3568]
" Namizne oljke, Istrska belica",[nutrition-label id=3567]
 muškatni oreh,[nutrition-label id=3668]
 Motovilec,[nutrition-label id=3510]
 Mortadela,[nutrition-label id=3276]
 Morski pes,[nutrition-label id=3380]
" Morski list, prekajen",[nutrition-label id=3363]
 Morski list,[nutrition-label id=3340]
 monteverdi mozzarela,[nutrition-label id=3727]
" Mleko 3,25 %",[nutrition-label id=3638]
 Mesni sir,[nutrition-label id=3275]
 Mesni narezek,[nutrition-label id=3290]
 MESNATA SLANINA,[nutrition-label id=3612]
 med,[nutrition-label id=3762]
 Mečarica,[nutrition-label id=3383]
 maslo Ljubljanske mlekarne,[nutrition-label id=3714]
 Maslo,[nutrition-label id=3636]
 marmelada UWE marelica,[nutrition-label id=3637]
 Marmelada Mešano sadja Presad,[nutrition-label id=3617]
 Margarina Unifet,[nutrition-label id=3619]
 Marelice,[nutrition-label id=3495]
 Mandelj,[nutrition-label id=3394]
 Mandarina,[nutrition-label id=3498]
 Maline,[nutrition-label id=3477]
 Makovo semena,[nutrition-label id=3399]
 majaron,[nutrition-label id=3667]
 Losos v olju,[nutrition-label id=3374]
 Losos,[nutrition-label id=3351]
 LISIČKA,[nutrition-label id=3602]
 Linške oči,[nutrition-label id=3643]
 Limonina lupina,[nutrition-label id=3629]
 limonin sok,[nutrition-label id=3736]
 Limona,[nutrition-label id=3500]
 Limeta,[nutrition-label id=3501]
" Lešniki, Istrska dolgoplodna leska",[nutrition-label id=3488]
 Lešnik,[nutrition-label id=3393]
 LEČA,[nutrition-label id=3600]
 laneno olje,[nutrition-label id=3649]
 lanena moka,[nutrition-label id=3651]
 Kvas,[nutrition-label id=3639]
" Kunčje meso, hrbet in stegno",[nutrition-label id=3272]
 Kunčja hrenovka,[nutrition-label id=3274]
 kumina,[nutrition-label id=3666]
 Kumare,[nutrition-label id=3536]
 Kulen,[nutrition-label id=3283]
 Krvavice,[nutrition-label id=3287]
" Krušno pecivo, Štručka s sirom",[nutrition-label id=3456]
" Krušno pecivo, črna žemlja",[nutrition-label id=3469]
" Krušno pecivo, boboli",[nutrition-label id=3468]
" Krušno pecivo, bela kajzerica",[nutrition-label id=3467]
" Krušno pecivo, bela bageta",[nutrition-label id=3466]
 kruhove drobtine,[nutrition-label id=3708]
" Krompir, kifeljčar, pečen",[nutrition-label id=3544]
" Krompir, kifeljčar, kuhan",[nutrition-label id=3543]
" Krompir, kifeljčar",[nutrition-label id=3542]
 Kraški pršut,[nutrition-label id=3284]
" Krap, gojen",[nutrition-label id=3346]
 Kranjska klobasa,[nutrition-label id=3280]
 krača prednji del,[nutrition-label id=3704]
 kožna emulzija,[nutrition-label id=3694]
" Kozje meso, povprečno",[nutrition-label id=3271]
" Košuta, stegno",[nutrition-label id=3322]
" Košuta, pleče",[nutrition-label id=3320]
" Košuta, hrbet",[nutrition-label id=3321]
 kosti mesnate telečje,[nutrition-label id=3711]
 kosti mesnate praš.,[nutrition-label id=3702]
 Kostanj,[nutrition-label id=3396]
 Koruzni zdrob (instant polenta),[nutrition-label id=3419]
 Koruzni zdrob (bela polenta),[nutrition-label id=3418]
 Koruzni zdrob,[nutrition-label id=3417]
 Koruzni kruh,[nutrition-label id=3455]
" Koruzna moka, Poltrdinka",[nutrition-label id=3421]
 Koruzna moka,[nutrition-label id=3420]
" Koruza, zrno, Poltrdinka",[nutrition-label id=3416]
" Koruza, zrno",[nutrition-label id=3415]
 koriander,[nutrition-label id=3665]
" Korenje, rumeno, kuhano",[nutrition-label id=3562]
" Korenje, rumeno",[nutrition-label id=3561]
" Korenje, kuhano",[nutrition-label id=3525]
 Korenje,[nutrition-label id=3524]
" Kopunje meso, prsa brez kože in kosti",[nutrition-label id=3293]
" Kopunje meso, bedro brez kože in kosti",[nutrition-label id=3294]
 konopljino olje,[nutrition-label id=3648]
 konopljini proteini,[nutrition-label id=3650]
 Konopljina moka,[nutrition-label id=3634]
" Konjsko meso, povprečno",[nutrition-label id=3270]
" Koleraba, rumena, kuhana",[nutrition-label id=3521]
" Koleraba, rumena",[nutrition-label id=3520]
" Koleraba, nadzemna",[nutrition-label id=3535]
" Kokosovo meso, posušeno, nesladkano",[nutrition-label id=3631]
 Kokosovi rogljički,[nutrition-label id=3646]
 Kokosova moka,[nutrition-label id=3628]
 Kokosov oreh,[nutrition-label id=3397]
 Kokošja maščoba,[nutrition-label id=3302]
 Knor svinjska juha,[nutrition-label id=3685]
 klinčki,[nutrition-label id=3664]
 Klen,[nutrition-label id=3348]
 Klapavica,[nutrition-label id=3353]
 Kivi,[nutrition-label id=3496]
 Kisla smetana Pomurske mlekarne 20,[nutrition-label id=3627]
 kis za vlaganje,[nutrition-label id=3759]
 kis jabolčni,[nutrition-label id=3686]
 ketchup felix,[nutrition-label id=3731]
 KEČAP,[nutrition-label id=3596]
 Kaviar,[nutrition-label id=3378]
 karamelizirana čebula,[nutrition-label id=3745]
" Kaki, Vanilija",[nutrition-label id=3491]
 Kaki,[nutrition-label id=3492]
 kajenski poper,[nutrition-label id=3735]
" Jušni rezanci, ajdovi, kuhani",[nutrition-label id=3584]
" Jušni rezanci, ajdovi",[nutrition-label id=3583]
 jogurt 2%,[nutrition-label id=3722]
" Jezerska zlatovčica, gojena",[nutrition-label id=3344]
 Jetrna pašteta,[nutrition-label id=3286]
 Ješprenj,[nutrition-label id=3413]
" Jelenje tele, stegno",[nutrition-label id=3325]
" Jelenje tele, pleče",[nutrition-label id=3323]
" Jelenje tele, hrbet",[nutrition-label id=3324]
" Jelenjad, stegno",[nutrition-label id=3316]
" Jelenjad, pleče",[nutrition-label id=3314]
" Jelenjad, hrbet",[nutrition-label id=3315]
" Jelen, stegno",[nutrition-label id=3319]
" Jelen, pleče",[nutrition-label id=3317]
" Jelen, hrbet",[nutrition-label id=3318]
 Jegulja,[nutrition-label id=3339]
 Jegulja,[nutrition-label id=3385]
 jedilna čokolada,[nutrition-label id=3763]
 Ječmenova moka,[nutrition-label id=3414]
" Ječmen, zrno",[nutrition-label id=3412]
 Jastog,[nutrition-label id=3358]
 Jajčevec,[nutrition-label id=3553]
" Jajce, celo, surovo, sveže",[nutrition-label id=3622]
 Jagode,[nutrition-label id=3473]
" Jagnetina, stegno",[nutrition-label id=3267]
" Jagnetina, podkožni loj",[nutrition-label id=3268]
" Jagnetina, pleče",[nutrition-label id=3266]
" Jagnetina, ledja",[nutrition-label id=3265]
" Jabolke, Šampanjska Reneta",[nutrition-label id=3484]
" Jabolke, Carjevič",[nutrition-label id=3483]
 Jabolke,[nutrition-label id=3482]
 ISOKONTRIKT 5590,[nutrition-label id=3589]
 iso contrit 5590,[nutrition-label id=3674]
 Inčun,[nutrition-label id=3336]
 Huzarski Krapki,[nutrition-label id=3642]
 HUHNERPASTETE,[nutrition-label id=3588]
" Hruške, Tepka",[nutrition-label id=3481]
 Hruške,[nutrition-label id=3480]
" Hrenovka, klasična",[nutrition-label id=3273]
 HREN,[nutrition-label id=3604]
 hrbtna slanina,[nutrition-label id=3710]
 Hobotnica,[nutrition-label id=3389]
 hamburška slanina,[nutrition-label id=3699]
 grški jogurt 10%,[nutrition-label id=3737]
 grška omaka,[nutrition-label id=3749]
" Grozdje, belo",[nutrition-label id=3486]
 Grenivka,[nutrition-label id=3499]
" Grah, kuhan",[nutrition-label id=3551]
 Grah,[nutrition-label id=3550]
 goveji kuhani vampi,[nutrition-label id=3695]
 Goveji jezik,[nutrition-label id=3258]
 Goveje srce,[nutrition-label id=3257]
 goveje obreznine,[nutrition-label id=3758]
" goveje meso II kat. ( vrat, podplečje)",[nutrition-label id=3652]
 goveje meso,[nutrition-label id=3741]
 goveja rebra,[nutrition-label id=3693]
 GOVEJA KRI,[nutrition-label id=3615]
 Goveja jetra,[nutrition-label id=3256]
" Govedina, zunanje stegno",[nutrition-label id=3253]
" Govedina, podplečje",[nutrition-label id=3254]
" Govedina, podkožno maščobno tkivo",[nutrition-label id=3259]
" Govedina, pljučna pečenka",[nutrition-label id=3255]
" Govedina, pleče",[nutrition-label id=3252]
" Govedina, ledja",[nutrition-label id=3250]
" Govedina, križ",[nutrition-label id=3251]
 Govedina v ovitku,[nutrition-label id=3289]
 Gosja maščoba,[nutrition-label id=3308]
" Gos, povprečno",[nutrition-label id=3307]
 gorčična moka,[nutrition-label id=3663]
 gea majoneza,[nutrition-label id=3713]
 FRANFURTER KOMBI,[nutrition-label id=3590]
 Francoska štruca,[nutrition-label id=3446]
 Francoska klobasa,[nutrition-label id=3277]
" Fižol, tetovec, kuhan",[nutrition-label id=3531]
" Fižol, tetovec",[nutrition-label id=3530]
" Fižol, sivček, kuhan",[nutrition-label id=3529]
" Fižol, sivček",[nutrition-label id=3528]
" Fižol, češnjevec, kuhan",[nutrition-label id=3527]
" Fižol, češnjevec",[nutrition-label id=3526]
 figova omaka,[nutrition-label id=3750]
 figova marmelada,[nutrition-label id=3738]
 Fige,[nutrition-label id=3493]
" Fazan, povprečno, s kožo, brez kosti",[nutrition-label id=3331]
 famny,[nutrition-label id=3728]
 extrawurst tiroler 126,[nutrition-label id=3673]
" Ekstra deviško oljčno olje, Zmartel",[nutrition-label id=3578]
" Ekstra deviško oljčno olje, Žižula",[nutrition-label id=3579]
" Ekstra deviško oljčno olje, Štorta",[nutrition-label id=3577]
" Ekstra deviško oljčno olje, mešanica sort",[nutrition-label id=3569]
" Ekstra deviško oljčno olje, Mata",[nutrition-label id=3576]
" Ekstra deviško oljčno olje, Leccino",[nutrition-label id=3575]
" Ekstra deviško oljčno olje, Komuna",[nutrition-label id=3574]
" Ekstra deviško oljčno olje, Istrska belica",[nutrition-label id=3573]
" Ekstra deviško oljčno olje, Črnica",[nutrition-label id=3570]
" Ekstra deviško oljčno olje, Buga",[nutrition-label id=3572]
" Ekstra deviško oljčno olje, Briška črnica",[nutrition-label id=3571]
 EDAMEC,[nutrition-label id=3701]
" Drozdje, rdeče",[nutrition-label id=3487]
 DROBNJAK,[nutrition-label id=3599]
" Divji zajec, povprečno",[nutrition-label id=3330]
" Divji prašič, meso, povprečno",[nutrition-label id=3329]
 dimljena slanina,[nutrition-label id=3740]
 dekstroza,[nutrition-label id=3662]
 DATELJ,[nutrition-label id=3611]
" Cvetača, kuhana",[nutrition-label id=3540]
 Cvetača,[nutrition-label id=3539]
" Črni kruh, s krompirjevimi kosmiči",[nutrition-label id=3449]
 Črni kruh,[nutrition-label id=3448]
 Čokoladni rogljički,[nutrition-label id=3644]
 Čokoladni obliv Bonn,[nutrition-label id=3618]
 Čokolada v prahu,[nutrition-label id=3626]
 citronska kislina,[nutrition-label id=3760]
 Cipelj,[nutrition-label id=3333]
 Cimet mleti,[nutrition-label id=3625]
 Chedar Somerset,[nutrition-label id=3726]
 Češnje,[nutrition-label id=3474]
 česen v prahu,[nutrition-label id=3743]
 Česen,[nutrition-label id=3549]
 Čemaž,[nutrition-label id=3533]
" Čebula, rjava",[nutrition-label id=3517]
" Čebula, Ptujska rdeča",[nutrition-label id=3566]
" Čebula, mlada",[nutrition-label id=3534]
" ČEBULA, BELA",[nutrition-label id=3598]
 čebula v prahu,[nutrition-label id=3734]
 Bučno olje,[nutrition-label id=3580]
" Bučnice, golice",[nutrition-label id=3581]
" Bučnice, belice",[nutrition-label id=3582]
 Bučna semena,[nutrition-label id=3402]
 Bučke,[nutrition-label id=3558]
 BRUDAUERWURST KRAKAUER,[nutrition-label id=3593]
" Brstični ohrovt, kuhan",[nutrition-label id=3514]
 Brstični ohrovt,[nutrition-label id=3513]
" Brokoli, kuhan",[nutrition-label id=3564]
 Brokoli,[nutrition-label id=3563]
 Brodet v pločevinki,[nutrition-label id=3372]
 Breskve,[nutrition-label id=3476]
 Brancin pečen,[nutrition-label id=3379]
 Borovnice,[nutrition-label id=3478]
" Blitva, kuhana",[nutrition-label id=3557]
 Blitva,[nutrition-label id=3556]
 bioknoblauchgranulat,[nutrition-label id=3753]
 bio-intensado neu,[nutrition-label id=3754]
 bio-cevapi,[nutrition-label id=3755]
 bio-brätvurst,[nutrition-label id=3756]
 Belokranjska pogača,[nutrition-label id=3462]
 bbq omaka,[nutrition-label id=3747]
 bazilika,[nutrition-label id=3661]
 BANANA,[nutrition-label id=3610]
 AVOKADO,[nutrition-label id=3507]
 aroma us 150,[nutrition-label id=3660]
 aroma tk,[nutrition-label id=3689]
 Aroma Ruma,[nutrition-label id=3616]
 aroma mix čevapko,[nutrition-label id=3659]
 aroma hrenovka (telečja),[nutrition-label id=3658]
 aroma gel ks,[nutrition-label id=3657]
 aroma fibrex cs 40,[nutrition-label id=3656]
 Arašid,[nutrition-label id=3395]
 Angleški piškoti,[nutrition-label id=3647]
 Ananas,[nutrition-label id=3502]
 Aljaževa salama,[nutrition-label id=3282]
" Ajdova moka, Trdinova",[nutrition-label id=3410]
" Ajdova moka, tatarska",[nutrition-label id=3411]
" Ajdova moka, Dolenjska siva",[nutrition-label id=3409]
 Ajdova moka,[nutrition-label id=3408]
" Ajdova kaša, tatarska",[nutrition-label id=3407]
 Ajdova kaša,[nutrition-label id=3406]
" Ajdov kruh, z orehi",[nutrition-label id=3471]
 Ajdov kruh,[nutrition-label id=3470]
" Ajda, zrno, Dolenjska siva",[nutrition-label id=3405]
" Ajda, zrno, Čebelica",[nutrition-label id=3404]
" Ajda, zrno",[nutrition-label id=3403]
 aceto balsamico modena,[nutrition-label id=3716]
